indonesia,betawi
"Sebenernya badan ini kurang sehat dibawa makam susah, keringet dingin dari pagi tapi dibawa sehat untuk d'bawel apalagi ada acha. karna janji udh lama. Udh ke toilet 5x ditahan kalo gk ditahan bakal lebih, hmmm.","Sebenernye badan inih kureng buger dibawa kuburan sudah, keringet adem sedari pagi tapi dibawe buger buat dibawel palagi ade Acha. karne janji udeh lame. udeh ke sumur lime kali ditaan kalo kagak ditaan bakalan lebih, hmmm."
"Aku tidak membenco hujan sore itu, Aku hanya kecewa dia pergi saat mentari mulai bersinar. Lenyap. Seperti kisahku dan kamu~ #masihtentangJuni #ceritaKaa","Guah ora ngêbênci ujan soré onoh, Guah tibang kêcèwa diah pêgi wayah mataari mulè mêngkêrèlèp. Lênyap. Kèk kisah guah dan êluh~ #masingtêntangJuni #ceritaKaa"
"Pelayanan lama, not such a nice service and place. So worth the price","Pelayanan lelet, bukan layanan dan tempat nyang cakep. Sangat sesuei dengan biyayenye"
"Diminta temen bantuin bungkus kado untuk istrinya sebagai hadiah ultah pernikahan. Terus disuruh juga sekalian selipkan quote romantis. Saya ahlinya, katanya. Dalam hati meringis, tau :)","Diminta temen bantuin bungkus kado buat bininye buat hadie ultah kawinan. Terus disuruh juga sekalian nyelipin kate-kate romantis. Aye jagonye, katenye. Dalem ati nyesek, tau :)"
[USERNAME] libur tapi ini tugas dikumpulin senin aq takut kalo tida selesai p.s sekali lagi ngirim foto yoongi yang macem gituan AQ BLOCK p.s.s SAME ENERGY WITH THIS PICT DJKDDJDLDL [URL],[USERNAME] libur ini tugas dikumpulin senen aye iseng kalo kagak selesei p.s sekali lagi ngirim poto yoongi yang macem begituan AYE BLOK p p.s.s KEKUATAN YANG SAME PAKE GAMBAR INI DJKDDJDLDL [URL]
Bagus sih secara keseluruhan. Mungkin wifi nya yg  kurang karena belum sampai ke kamar dan kemarin mungkin lagi ga beruntung dapet kamarnya yg tv nya kurang jernih,Cakep sih secare keseluruhan. Mungkin wipi nye nyang kureng karne belon sampe ke pangkeng dan maren mungkin lage apes dapet kamarnye nyang tipi nye burek
"Makan buah pepaya dapat membantu mengatasi Acid Reflux, kondisi dimana asam lambung naik hingga kerongkongan.","Gegares buah paya dapet ngebantu nyembuhin Acid Reflux, keadaan dimane asem lambung naek ampe kerongkongan."
"cukup baik, pelayanan ramah. ruangan dan kamar mandi cukup bersih hanya saja tercium bau yg menggangu sperti bau rokok, sarapannya mantap over all memuaskan","mayan cakep, pelayanan ajer. ruangan ama sumur mayan resik cuman kecium bau nyang ngegangu kaye bau roko, nyarapnye mantep keseluruan muasin"
Pengennya nangis Tapi ga bisa ngeluarin air mata Entah dari pagi pengennya senyum Jadi sampai kebawa ke hati Siang siang di gituin Tetep rasanya enteng,Pengennye kejer Tapi kagak bise ngluarin aer mate Au dari pagi pengennye senyum Jadi sampe kebawa ke ati Siang siang di gituin Tetep rasanye enteng 
berkah disuruh liat pertunjukan barongsai di kantor :p  rejeki anak solehah...*alhamdulillah [pic] ? https://path.com/p/2zagVH,bêrkah disuruh liat pêrtunjukan barongsai di kantor :p  rêjêki bocah solèhah...*alhamdulillah [gambar] ? https://path.com/p/2zagVH
air panas nya nga bisa,aer panas nye eror
Engga tau kenapa tiba2 lagi suka lagu inii?? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/35AyJ6,Kagak tau kenape ujug-ujug lagi demen lagu ini?? ? Elu lah Tadir aye karye Raffi Ahmad & Nagita Slavina ? https://path.com/p/35AyJ6
"Cewek yg lagi dirumah. Ngga jauh dari tiduran, mainin hp, dgrn lagu & nonton tv. Dia kalo udh bete bgt dirumah, dia lebih memilih tidur.","Cewek nyang lage dirumeh. Kagak jauh dari rebaan, ngotak-ngatik hape, nyimak senandung & nonton tipi. Die kalo udeh bosen banget dirumeh, die lebih milih molor."
"Mendengar ada suara aneh disekitarnya. Jek merinding. ""tadi ada yg ngomong tidak yaa??"" ","Ngedenger ada suare aneh disekitarnye. Jek merinding. ""tadi ada yang ngomong kagak yee??"""
"Brasil, kandidat kuat juara 2014 tapi dihajar Jerman 1-7. Selain Neymar yang absen sehingga daya serang turun, Thiago Silva juga absen. Sisanya David Luiz, dimana dia? Gak dibawa!! Cuma 4 orang pemain yang main di 2014 masih dibawa ke Rusia. Kunci di Neymar yg haus gelar.","Brasil, kandidat jeger juare 2014 tapi dihajar Jerman 1-7. Selaen Neyman yang absen ampe daye serang turun, Thiago Silva juge absen. Sisenye David Luiz, dimane die? Kagak dibawe!! Tibang 4 orang pemaen yang maen di 2014 masih dibawe ke Rusia. Konci di Neymar yang aus gelar."
Sharing sama temen tuh emg guna bgt. Disaat lu ngerasa masalah lu berat bgt ternyata temen kita sendiri punya masalah lebih berat dr kita. Malah masalah kita ngga ada apa2nya dibanding masalah dia.,Berbagi ame temen tuh emang gune bener. Pas elu ngerase masaleh elu berat bener ternyate temen kite dewek punye masaleh lebih berat dari kite. Maleh masaleh kite kagak ada ape-apenye ketimbang masaleh die.
Muladi Tolak Intervensi yang Disampaikan Wantim Golkar http://elshinta.com/news/2944/2015/02/25/muladi-tolak-intervensi-yang-disampaikan-wantim-golkar ?,Muladi Nolak Nyela nyang Disampein Wantim Golkar http://elshinta.com/news/2944/2015/02/25/muladi-tolak-intervensi-yang-disampaikan-wantim-golkar ?
Dulu kalo di-bully sukanya marah terus dikejar si tukang bully. Saat kagak tertangkap dan badan lelah seketika itu pula muncul bulir bulir air bercucuran dari mata.,Jaman jebot kalo diledekin demennye ngamuk trus dikejar si tukeng ledek. Pas kagak ketangkep dan badan capek pas itu juge muncul netesan aer ngalir dari mate. 
"Meskipun cara yang dilakukam dilandasi kasihsayang, tapi saya pribadi tak suka dg cara org tua yang mendidik dgn memukul anak di depan org banyak.","Walopun care nyang dilakuin dilandasin kasing sayang, tapi aye ndiri kagak suke ama cara orang tue nyang ngedidik pake mukul anak di adepan orang banyak."
Pecat aja. Ngga mengemis pada pemerintah. Berhenti jd munafik.,Pecat aje. Kagak nyantong pade pemerentah. Berenti jadi munafik.
"Orang ga tau diri itu adalah kursi sebelahnya kosong tapi dibuat naruh jaket/tas, yang ga kebagian kursi berdiri di sebelahnya tapi dia tetep ga mindahin barang2nya :)","Orang ora tau diri onoh adalah korsi sêbêlahnyah kosong tapi dikêja naro jakèt/kêmpèk, nyang ora kêduman korsi ngêjogrog di sêbêlahnyah tapi diah têtêp ora mindahin barang-barangnyah :)"
"Sosok Syahrini bisa dibilang menjadi salah satu penyanyi paling laris di Indonesia. Tak heran, Syahrini pun ha... http://bit.ly/1vQMAEj ","Gambaran Syahrini bise dikate jadi salah atu penyanyi paling laku di Endonesia. Kagak heran, Syahrini juge ha... http://bit.ly/1vQMAEj "
"Calon Pimpinan KPK Usulan SBY Ditolak, Demokrat Protes Jokowi - Serambi Indonesia: Seramb... http://bit.ly/1Lgj57E  ?c.c. @SBYudhoyono","calon pemimpin KPK Tawaran Kagak Diterime, Demokrat Ngedumel Jokowi - Serambi Endonesia: Seramb... http://bit.ly/1Lgj57E  ?c.c. @SBYudhoyono"
"Setelah Pakai Berlian 5 M, Kini Syahrini Dandan Nggak Nyambung: Syahrini yang biasanya tampil m... http://bit.ly/18c9ocw  #NewsINFOmedia","Setelah Pake Berlian 5 M, Sekarang Syahrini Dandan Kagak Nyambung: Syahrini yang biasanye tampil m... http://bit.ly/18c9ocw  #BeriteINPOmedie"
park woojin harus disayang dicintai diapresiasi diberi makanan enak diberi pelukan hangat diberi kopi panas atau cokelat panas terserah dia deh yang penting dia bahagia pokoknya intinya adalah park woojin harus dibuat bahagia.,park woojin kudu disayang didemenin dipuji diberii gegaresan sedep diberi dekepan anget diberi kopi panas atau coklat panas terserah die deh nyang penting die girang pokonye intinye ntu park woojin kudu dibuat girang.
"Meskipun ada di ruangan kantor terus dan nggak kena sinar matahari, rambut km tetap bisa rusak lho http://www.zinc.co.id/active-update/5-jenis-kebiasaan-di-kantor-yang-bikin-rambut-rusak ?","Walao juge ada di ruangan kantor mulu ame kagak kena sinar matahari, rambut elu tetep bise ambruk loh http://www.zinc.co.id/active-update/5-jenis-kebiasaan-di-kantor-yang-bikin-rambut-rusak ?"
Sumpahya ngeliat blekping jd pengen punya rambut panjang lagi hikz :( tapi sampe kapanpun rambut panjang w ga bakalan kayak mereka heeeft [URL],Sumpèh yè nêmpo blekping jadi pêngên punyè rambut panjang lagi hikz :( tapi ampè kapan gè rambut panjang ayè kagak bakalan kayak mêrèka heeeft [URL]
"Ritual kalo mau tidur nyanyi lagu sayang kaka Ani, sayang mamak, sayang bapa, sayang oppung, sayang abang Gio, sayang tua Gio, sayang Tua Winda (Nyebutin semua anggota keluarga besar) Namamu selalu duluan disebut dek","Ritual kalo mau molor nyanyi lagu sayang Mpok Ani, sayang emak, sayang baba, sayang encang, sayang  abang Gio, sayang endelaki Gio, sayang ende wadon Winda (Nyebutin semue anggote keluarge besar) Nama lu selalu duluan disebut dek"
"PDIP Dinilai Aneh bila Terima Badrodin Kapolri: INILAHCOM, Jakarta - Anggota Komisi III DPR Fraksi Golkar, Bam... http://bit.ly/1Lp73ZP ","PDIP Dianggep Aneh kalo Nerime Badrodin Kapolri: INILAHCOM, Jakarte - Anggote Komisi III DPR Fraksi Golkar, Bam... http://bit.ly/1Lp73ZP "
"Pas di mobil aku nyanyi Pada Sebuah Ranjang, anakku bilang, """"Ssst, diem, Pak, bagusan Anji yang bawain.."""" Asuuu?TUhan Maha Asyiiiiik","Pas di mobil guah nyanyi Pada Sêbuah Ranjang, anak guah bilang, """"Ssst, diêm, Bèh, cakêpan Anji nyang bawain.."""" Anjing?Tuhan Maha Asik"
ac nya susah di nyalain,ac nye suseh di idupin
AkuMencintamu Karena aku dari awal yakin aku dapat menjadi apa yang kau butuhkan dan apa yang kau selama ini cari.,Aye Mencintai elu soalnye aye dari awal yakin aye dapet jadi ape yang elu butuhin ame ape yang elu selame ini cecer
Janji Suci Raffi Dan Gigi 20 Februari 2015 Part 4 End - Raffi ahmad Bahagia & Terharu Banget Dapat: http://youtu.be/T_WwBC63-j8?a  via,Janji Suci Raffi ama Gigi 20 Fèbruari 2015 Bagian 4 Akhir - Raffi Ahmad Bahagiè & Têrharu bangêt Dapêt: http://youtu.be/T_WwBC63-j8?a  liwat
Sekarang nyanyi lagu ini sendirian semoga beberapa waktu ke? ? Kamulah Takdirku by Raffi Ahmad & Nagita Slavina ? https://path.com/p/1c5BM0,Sekarang nyanyi lagu eni dewekan semoge beberape waktu ke? ? Kamulah Takdirku dari Raffi Ahmad & Nagita Slavina ? https://path.com/p/1c5BM0
Ada anak sma habis perpisahan atau semacam wisuda sekolah. Foto bareng sama temen-temennya sejawat dgn pakai kebaya lalu di post di IG dengan caption 'Nanti siapa ya yang bakal nikah duluan'. Ku langsung tertunduk lesu dan seraya ingin minum extra joss. Cuk.,Ada anak sma abis perpisahan ape semacem wisude sekoleh. Poto bareng ame temen-temennye sepantaran ame pake kebaye terus diunggah di Intagram pake keterangan 'Entar siape ye yang bakal kawin duluan'. Aye langsung nunduk lesu ame kayak pengen minum extra joss. Sialan.
kamarnya baik. namun toiletnya kurang bersih dan tdk ada tempat sampah dalam kamar,pangkèngnyah baèk. namun jambannyah kurang rêsik dan ora ada têmpat sampah dalêm pangkèng
kamar mandinya agak bau....tercium juga dari kamar....air hangatnya nyalanya kecil...,jambannye rade bau... kecium juge dari kamar....aer angetnye nyalanye pitik...
"Kalo di Indonesia, Selena Gomez udah dinyinyirin jadi orang tabah banget jagain jodohnya orang karena putus nyambung sama Justin Bieber eh Justin jadinya sama yang lain.","Kalu di Indonèsia, Selena Gomèz udah dinyinyirin jadi orang tabah êmên jagain jodonyah orang karna putus nyambung ama Justin Bieber èh Justin jadinyah ama nyang laèn."
Perkenalan pertama kali sama Laruku adalah saat mereka jadi Ending Song Samurai X. Langsung jatuh cinta,Pêrkênalan pêrtamè kali amè Laruku adalah wayah mêrèka jadi Lagu Pênutup Samurai X. Langsung jatoh cintè
"Gue buat story di ig ada tulisan ""stay with me"" sambil pegangan tangan, baaahhhh ngga lama kemudian cocot netizen berbondong menyerbu diriku dan mengata ngatai seakan tau segalanya.","Gue buat cerite di ig ade tulisan ""tetep ama gue"" sambil gandengan tangan, baaahhhh kaga lame kemudian congor netizen bebondong nyerbu aye trus ngata ngatain kaye tau segalanye."
Politisi Golkar: Kenaikan harga beras janggal http://nasional.kontan.co.id/news/politisi-golkar-kenaikan-harga-beras-janggal ?,Politisi Golkar: Kenaekan harge beras janggal http://nasional.kontan.co.id/news/politisi-golkar-kenaikan-harga-beras-janggal ?
Para penumpang yang terlantar akibat delay parah di Bandara Soekarno Hatta masih berdatangan ke Kantor Lion Ai... http://bit.ly/1vRUg9f,para penumpang nyang terabekan akibat nunde parah di Bandara Sukarno Hatta masih berdatengan ke Kantor Lion Ai... http://bit.ly/1vRUg9f
Bukber pertama dgn org tersayang...  [USERNAME] [USERNAME] [USERNAME] [USERNAME] syngx kurang [USERNAME] dan [USERNAME],Buka bersame ame orang tersayang... [USERNAME] [USERNAME] [USERNAME] [USERNAME] sayangnyr kurang [USERNAME] ame [USERNAME]
Palembang. Be nice please. Jangan dirusak oleh kelakuan orang orang yang isengnya ampun seanjing anjing gini. Katanya Kota Internasional? Hadeehh,Palèmbang. Tulung bêsikap baèk. Jangan dirusak olèh kêlakuan orang orang nyang isêngnyè ampun sêanjing anjing gini. Katènyè Kotè Intêrnasional? Hadêêhh
Penyakit hepatitis B 100x lebih infeksius dari HIV/AIDS Duhh serem! Dan belum ada obatnya.,Penyakit Hepatitis B 100x lebih inpeksi dari HIV/AIDS Adeh nyeremin! Dan belom ade obatnye.
"Ikut belajar dan berlatih dengan keseharian militer ternyata banyak hikmahnya, terutama masalah kedisiplinan, yaitu : - Disiplin ibadah shalatnya TBM","Ngilu belajar ama berlatih dengan kesearian militer ternyate banyak hikmahnye, terutame masale kedisiplinan, yaentu : - Disiplin ibade solatnye TBM"
"[USERNAME] Saya memang kadang enggan menghubungi kondektur krn biasanya sudah larut malam. Menurut saya kritik serupa sudah sering disampaikan. Harapan saya pengecekan berkala dapat dijadikan SOP, shg tidak perlu harus ada komplain terlebih dahulu baru suhu","[USERNAME] Aye emang kadang segen ngehubungin kenek soalnye biasanye udeh kemaleman. Menurut aye kritik kayak gitu udeh sering disampein. Arepan aye pengecekan berkale dapet dijadiin SOP, ampe kagak perlu kudu ada komplen tdulu baru suhu"
"Fasilitas yang dijamin Airy vs kenyataan: 1. TV: chanel banyak, tp tdk ada remote 2. Free Wi-Fi: ada, tp koneksi sangat lambat bahkan utk aplikasi pengirim pesan pun tdk bs digunakan 3. AC: memuaskan 4. Comfy & clean bed: hanya 'clean' 5. Hot& cold shower: hanya 'cold' 6. Amenity kit: memuaskan 7. Free mineral water: memuaskan","Pasilitas nyang diyakinin Airy vs realite: 1. Tipi: bejibun saluran tipi, tapi kagak ade remot 2. Bbebas wipi: ade, tapi koneksi lelet banget malahan buat aplikasi ngirim pesen aje kagak bise digunain 3. AC: muasin 4. Pelembut & pengresikan dipan: hanya 'resik' 5. Keran kerames adem dan panas: hanye 'adem' 6. perlengkapan: muasin 7. Bebas aer minum:muasin."
"kamar luas bersih dan staff nya ramah,dari hotelnya cukup puas, box mill ariy nya tidak ada kata pekerja hotel mereka suda email ke pusat ariy tapi blm ada tanggapan dari ariy, tolong ariy direspon dgn cepat, jangan sampai penginap kecewa.  ","pangkèng lêga rêsik dan pêgawè nyah gêpyak,dari hotèlnyah cukup puas, kotak gêgarêsan airynyah ora ada kata pegawè hotèl mêrèka udah email kê pusat airy tapi bêlon ada tanggêpan dari airy, tulung airy ditanggêpin dêngan gasik, ontong sampè pênginêp kêcèwa.  "
"Hotel nyaman, tapi sayang yg ngejagain pergi-pergian mulu. terus kamar mandi ga bersih","Hotèl kêrasan, tapi sayang nyang ngêjagèin pêgi-pêgian baè. Têrus sumur kagak rêsik"
"tdk ada shower air panas, tv tabung, kamar kotor berdebu bau rokok, kolam renang kotor, kamar mandi model jaman old","kaga ade pancoran aer panas, tipi tabung, pangkeng ngeres bedebu bau roko, kolem ngobak ngeres, sumur model jadul"
"Fasilitasnya lumayan lengkap ada air panas, tv, snack, AC, dan peralatan mandi, kasur empuk, parkiran tapi yg kurang itu sarung bantal yg warnanya kusam jadi terkesan usang dan kotor, cat tembok yg mulai mengelupas dan selimut yang tipis....overall lumayan bagus untuk harga segitu kedepannya mungkin lebih ditingkatkan lagi untuk fasilitas kamarnya","Pasilitasnye mayan lengkap ade aer panas, tipi, cemilan, AC, ama peralatan mandi, tilam empuk, parkiran tapi nyang kurang ntu sarung bantal nyang warnenye kusem jadi kiatan buluk ama ngeres, cet tembok nyang mulai ngelopek ama ambal nyang tipis....keseluruan mayan cakep buat harge segitu kedepannye mungkin lebi ditingkatin lagi buat pasilitas pangkengnye"
"Menamai, tapi lupa memaknai. Memenangkan, tapi enggan menenangkan. Mendewakan, tapi tidak saling mendewasakan Mencintai, tapi gemar mengintai Akhirnya memutuskan putus","Ngênamèin, tapi lupè ngêmaknèin. Ngêmênangin, tapi êmbung nênangin. Ngêdèwain, tapi kagak saling ngêdèwasèin Nyintèin, tapi rêsêp ngintè Akhirnyè mutusin putus"
Sayang gak ada tisu dikamar dan kamar mandi sedikit bau,Sayang kaga ade tisu dipangkeng ama sumur sedikit apek
"Begitu buka pintu ada kecoa di dlm kamar, cukup bikin shock. Mungkin krn kita book dadakan jd ga sempet dibersihkan. Semoga bisa lebih baik.","Begitu buka pintu ade kecoe di dalem pangkeng, mayan bikin kaget. Kayenye karne kite mesen dadakan jadi kaga sempet dibersiin. Semoge bise lebi bae. "
"Tolak HAMAS, Langkah Pemerintah Dipuji PDIP http://bit.ly/1KwhWtq  Menag imbau umat Islam ikuti pandangan mayor... http://bit.ly/1AXKYQv ","Nolak HAMAS, Langkeh Pemerentah Dialem PDIP http://bit.ly/1KwhWtq  Menag nyaranin umat Islam ngikutin pandangan mayor... http://bit.ly/1AXKYQv "
kamar bau banget,kamar bau bener
Emang kamu benar? Emang kamu pintar? Emang pendidikan kmubS3 dri Amrik dg nilai bagus? Emang kamu lernah jadi Rektor PT? Emang kontribusi kamu terhadap negiri sudah banyak?,Emang elu bener? Emang elu pinter? Emang pendidikan eluh S3 dari Amrik pake nilei cakep? Emang elu pernah jadi Rektor PT? Emang kontribusi elu terhadep negri udeh bejibun?
Demokrat panik @republikaonline: Perppu Plt KPK Berisiko Ditolak DPR  http://republika.co.id/r/nk32wo,Demokrat ketar-ketir @republikaonline: Perppu Plt KPK Berisiko Ditolak DPR http://republika.co.id/r/nk32wo
"[USERNAME] [USERNAME] [USERNAME] [USERNAME] nek sinh mas drumer kui yo jelas cinta terindah no, kenangan tak terlupakan.. di mention wae cur..","[USERNAME] [USERNAME] [USERNAME] [USERNAME] yang abang drumer ini ye danta cinte terindah kagak, kenangan kagak dilupain.. disebutin aje cur.."
"UPS Rp 5 Miliar/Sekolah, Praktisi IT: Aneh & Tak Logis http://tinyurl.com/p7cmsxo ","UPS Rp 5 Miliar/Kolaan, Praktisi IT: Aneh & Kagak Masuk Akal http://tinyurl.com/p7cmsxo "
selimut nya ga sesuai harapan.. kotor banget min :( banyak semut lagi :(,ambal nye kaga sesuei harepan.. ngeres banget min :( banyak semut lagi :(
"btw doa restu orang tua itu emang gilingan ya... pas udah mentok nyari literatur tambahan, nemu aja dong di RUMAH. padahal dari kemarin udah panik kudu mesen dari banyumas  apakah ini berkah ramadan [URL]","ngomong-ngomong doa rêstu orang tua onoh èmang gila yak... wayah udah mêntok nyari litêratur tambahan, nêmu baè dong di RUMAH. padahal dari kêmarèn udah panik kudu mêsên dari Banyumas  apahkah ênih bêrkah Romadon [URL]"
saat kedatangan pertama ga terlalu kotor sprai nya..karna nyaman bisa di toleran dan murab kami datang kembali.  kedatangan yg kedua dgn harga lebih mahal tp sprai sngat kotor. sy minta tolong diganti tp katnya tidak ada lg sprainya dna tidak tahu taro dmna?? sy minta ganti kamar dibilangnya penuh.. selain sprai kotor lantai jg kotor,pas ketadengan pertame kagak kotor bener sepre nye..soalnye kerasan bise di toleran ame mureh kami balik lagi. kedatengan yang kedua pake harge lebih mahal tapi sepre kotor bener. aye minta tolong diganti tapi katanye kagak ada lagi seprenye ame kagak tau tari mane?? aye minteganti kamar dibilangnye penuh.. selaen sepre kotor ubin juge kotor
Ini Juni Dimana gugur daun bidara melunglai.. Meresapkan sepi Hanya sesak rindu menggebu Disemua lembar lembar kekaguman Aku pada mu Sudah Lelah kah kau menatap? Sementara langit masih menyimpan cahaya.. Biarkan malam memeluk gelap Pagi memuja sunyi Dan Aku mencinta engkau,Êni Juni Di manè gugur daon bidarè ngêlunglèi.. Ngêrêsapin sêpi Tibang sêsêk rindu ngêgêbu Di sêmuè lêmbar lêmbar kêkaguman Ayè padè lu Udèh Lêlah kah êlu mênêtêp? Sêmentarè langit masing nyimpèn cahayè.. Dêminin malêm mêluk gêlap Pagi muja sunyi Dan Ayè mênyintè êlu
"Terus kalo bikin status itu nyindir orang? Ga juga, salah lu ngerasa kesindir. Biasanya aku ngomong dl ke orangnya. Barulah bikin status. Biar tambah ngerti orangnya. Aku mah ga suka nyindir orang yg ga perlu da. Misal kek gini: [URL]","Trus kalo buat status itu nyenggol orang? kaga juge, salah elu ngrase kenyinyir. Biasenye aye ngoceh dulu ke orangnye. Barulah buat status. Biar tambah ngarti orangnye. aye mah kaga suke nyinyir orang nyang kaga penting da. Misal kek ginih: [URL]"
"[USERNAME] :( pulang sekolah ceplokin trus mam baso 10.000 aja dah cukup, dulu mah sesimple itu.. boro2 maw ada pansos2an.. era ig jd ajang hebat2an ini lo bikin otak remaja ga sehat","[USERNAME] :( balek kolaah ceplokin trus gegares baso 10 rebu aje udeh cukup, dulu mah segampang ituh.. boro-boro mao ade geng-gengan.. jama ige jadi ajang kren2an inih eluh buat otak anak mude kagak sehat"
Di Inggris Anda akan didenda jika ngupil sambil mengemudikan mobil di jalan raya.,Di Inggris êlu bakal didêndè jika ngupil sêmbari ngêmudiin mobil di jalan rayè.
"Warga: Pak, jalan di daerah kami rusak parah. Tolong diperbaiki Pemerintah: Sudah ada yang kecelakaan belum gara-gara jalannya rusak Warga: Belum ada Pemerintah: Kalau begitu tunggu saja dulu sampai ada yang kecelakaan","Warge:  Pak, jalan di daerah kite ancur banget. Tulung dibenerin Pemerentah: Udeh ade nyang tabrakan belon gegare jalannye ancur Warge: Belon ade Pemerentah: Kalo begono tunggu aje dulu ampe ade nyang tabrakan"
"Selalu ada kekhawatiran terhadap cewek yg ditinggal pergi sama cowoknya, dalam hati ngomong """"Dia lagi apa ya? Sama siapa? jaga dia Tuhan"""".","Selalu ada kekuatiran ame wadon yang ditinggal minggat lanangnye, dalem ati ngomong """"Die lagi ape ye? Ame siape? jage die Tuhan""""."
"4. Masing2 partai itu memiliki figur dominan bak pemegang saham. Di PDIP ada Megawati, di Demokrat ada SBY, dan di Partai Hanura ada Wiranto","4. Tiap-tiap partei ntu punye pigur dominan kaye nyang punye saham. Di PDIP ade Megawati, di Demokrat ade SBY, ame di Partei Hanura ade Wiranto"
Awalilah pagimu dengan pikiran yang jernih serta positif meraih mimpi. Selamat hari Senin,Awalilah pagi elu pake pikiran yang bening ame positip wujudin mimpi. Selamet hari Senen
#NEWS--> Demokrat Protes Pimpinan KPK Usulan SBY Tak Dipilih Jokowi: Fraksi Partai Demokrat menyesalkan langka... http://bit.ly/1vIWd81,#BERITE--> Demokrat Protes Pimpinan KPK Usulan SBY Kagak dipilih Jokowi: Faksi Partai Demokrat nyeselin langke... http://bit.ly/1vIWd81
"pas awalnya sangat bagus, sekarang sudah kurang baik mungkin perlu maintenance supaya jadi lebih bersih, selimut dan handuk sering bau rokok, dan hot shower pernah sekali waktu tidak tersedia. tp walaupun sekarang kurang baik sy tetap memilih menginap disini karena daerah sekitar nya nyaman dan mudah di akses.","pas awalnye cakep bener, sekarang udeh kurang bae mungkin perlu pemeliharaan supaye jadi lebih resik, ambal ame anduk sering bau rokok, ame kagak ada kucuran pernah sekali pas kagak tersedia. tapi walao juge sekarang kurang bae aye tetep milih nginep di sini soalnye daerah sekitar nye kerasan ame gampang di akses."
Dukaku karna tak mampu katakan sedih ku karna sakit ku!! #iniserius #seriuscumatulisan #tulisandarilubuhhati #hatiyangcukupdalam #tapigakdalamdalambanget *emot mekkel sip*,Duke aye karne kagak sanggup berkate mewek aye karne sakit elu!! #inibeneran #benerancumetulisan #tulisandarilubukati #atinyangmayandalem #tapikagakdalembanget *emot mengkel sip*
ACnya kurang dingin,ACnye kurang dingin
Orang sekarang banyak yg kalo makan di kafe ato resto inget foto makanan tapi lupa berdoa. Follow @GadgetGaul untuk tips & info gadget keren,Orang karang banyak nyang kalo ngêganyêm di kapè atau rèsto ingêt poto ganyêman tapi lupè bêdoa. Miluin @GadgetGaul buat tips & inpo gawai kêrèn
"Ac harus dicek secara Berkala, tanpa harus menunggu customer Complained, terimakasih ","AC kudu dicèk sêcara bêkala, tanpa kudu ngênunggu pêlanggan ngêluh, têrima kasih "
"Ya apa salahnya si mbak dishare ulang, postan mu iku di grup udh tenggelem jauh. Kirim poto ini poto itu, tau sendiri kan. Gregetan aku tu mbak karo koe.","Ya ape salenye si mpok dikirim ulang, postan lu iku di grup udeh tenggelem jauh. Kirim poto ini poto itu, tau dewek pan. Gregetan aye ntu mpok ama lu."
Relawan Adakan Program Sekolah Ceria Untuk Korban Banjir - NET5: http://youtu.be/kuvWlKDWIA4  via @YouTube,Relawan Ngadain Program Sekola Girang Buat Korban Banjir - NET5: http://youtu.be/kuvWlKDWIA4  via @YouTube
"kamar mandi kotor, lampu kamar mandi gelap, wifi ngk lancar, pelayanan baik sih!","sumur cêbrik, bohlam sumur gêlap, WiFi ora lancar, pêlayanan baèk sih!"
"Proses check-in lama, menu makanan cuma 1 varian, tidak ada snack.","Prosès lapor masup lamè, mênu gêgarêsan tibang 1 jênis, kagak adè gayêman."
Semoga berjodoh yaaa sis sama sekolah ini????? (with GheaIndira at @smanitra) ? https://path.com/p/2c55HO,Sêmoga bêjodo yak Mpok ama sêkola ênih????? (barêngan GheaIndira di @smanitra) ? https://path.com/p/2c55HO
Kaca kamar mandi kotor,Cermin sumur burem
"Begitu diumumkan lulus 100%, mereka semua sujud syukur, dan langsung mengambil bunga...saat dia menghampiri, langsung memeluk & menciumku, air mata tak kuasa kubendung....""mom, this is my birthday present for u.."" ","Begono diumumin lulus 100%, die pada semua sujud syukur, dan langsung nagmbil bunga...masa die nyamperin, langsung melukin & nyium aye, aer mate kagak bisa ditahan....""mak, ini kan hari ulang tahun aye kasih bakal emak.."""
"Lg rame sexual harassment gara2 via vallen.. Dan bnyk pro dan kontra atas yg dilakukan via. Yg kontra, mungkin hrs nonton 13 reason why sih tuh. Dmn udh cerita kmn2 mnta pertolongan, tp org2 nganggep hal tsb sepele. Telek.","Lagi rame pelecehan seksual gare-gare via vallen.. Ame banyek pro ame kontra atas yang dilakuin via. Yang kontra, mungkin kudu panteng 13 reason why sih ntu. Dimane udeh cerite kemane-mane minte pertolongan, tapi orang-orang nganggep hal ntu sepele. Telek."
"Meluk adek. ""Sayang yang sabar ya. Adek lagi hamil kan. Jangan emosi mulu, bahaya loh buat kandungan adek. Kan Vian udah bilang juga, ya?"" Mengecup kening adek.","Ngêkêp adèk. ""Sayang nyang sabar yak. Adèk lagi bunting pan. Ontong èmosi baè, bahaya loh buat kandungan adèk. Pan Vian udah ngomong juga, yak?"" Ngêcup jidat adèk."
